Number of Vectors,Dimension of each Vector,Length of the solution,Iterations,Number of Candidates,Dispersion,Solution,Time CPU (seconds)
20,3,3,20,3,30.87265795162864,[8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07],0.0101922
20,3,4,10,2,56.69031024246483,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0113517
20,3,4,10,3,56.69031024246483,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0131242
20,3,4,20,2,56.69031024246483,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0158557
20,3,4,20,3,56.69031024246483,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0189791
20,3,5,10,2,92.8297431636503,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0210228
20,3,5,10,3,92.8297431636503,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0230032
20,3,5,20,2,92.8297431636503,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.026247
20,3,5,20,3,92.8297431636503,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0302672
30,2,2,10,2,11.657143732492965,[9.84 8.96][2.07 0.27],0.0015781
30,2,2,10,3,11.657143732492965,[9.84 8.96][2.07 0.27],0.0026377
30,2,2,20,2,11.657143732492965,[9.84 8.96][2.07 0.27],0.0055776
30,2,2,20,3,11.657143732492967,[9.84 8.96][2.07 0.27],0.0073855
30,2,3,10,2,28.944299609596456,[1.91 9.60][9.84 8.96][2.07 0.27],0.0093414
30,2,3,10,3,28.944299609596456,[1.91 9.60][9.84 8.96][2.07 0.27],0.0112808
30,2,3,20,2,28.944299609596456,[1.91 9.60][9.84 8.96][2.07 0.27],0.014806
30,2,3,20,3,28.944299609596456,[1.91 9.60][9.84 8.96][2.07 0.27],0.0174068
30,2,4,10,2,52.77117129353596,[1.91 9.60][9.84 8.96][8.00 1.53][2.07 0.27],0.0199455
30,2,4,10,3,52.77117129353596,[1.91 9.60][9.84 8.96][8.00 1.53][2.07 0.27],0.0217134
30,2,4,20,2,52.77117129353596,[1.91 9.60][9.84 8.96][8.00 1.53][2.07 0.27],0.0256231
30,2,4,20,3,52.77117129353596,[1.91 9.60][9.84 8.96][8.00 1.53][2.07 0.27],0.029226
30,2,5,10,2,80.91024055749885,[1.91 9.60][9.84 8.96][8.00 1.53][0.65 3.26][2.07 0.27],0.0319257
30,2,5,10,3,80.91024055749885,[1.91 9.60][9.84 8.96][8.00 1.53][0.65 3.26][2.07 0.27],0.0348344
30,2,5,20,2,80.91024055749887,[1.91 9.60][9.84 8.96][8.00 1.53][0.65 3.26][2.07 0.27],0.0389883
30,2,5,20,3,80.91024055749887,[1.91 9.60][9.84 8.96][8.00 1.53][0.65 3.26][2.07 0.27],0.0463154
30,3,2,10,2,13.07373703269268,[6.71 0.35 9.42][8.06 9.59 0.27],0.000914
30,3,2,10,3,13.073737032692682,[6.71 0.35 9.42][8.06 9.59 0.27],0.0018897
30,3,2,20,2,13.073737032692682,[6.71 0.35 9.42][8.06 9.59 0.27],0.0037818
30,3,2,20,3,13.073737032692682,[6.71 0.35 9.42][8.06 9.59 0.27],0.0073812
30,3,3,10,2,34.29052905319284,[8.32 0.47 8.98][8.06 9.59 0.27][1.53 8.09 9.56],0.0092289
30,3,3,10,3,34.29052905319284,[8.32 0.47 8.98][8.06 9.59 0.27][1.53 8.09 9.56],0.0106779
30,3,3,20,2,34.29052905319284,[8.32 0.47 8.98][8.06 9.59 0.27][1.53 8.09 9.56],0.0142312
30,3,3,20,3,34.29052905319284,[8.32 0.47 8.98][8.06 9.59 0.27][1.53 8.09 9.56],0.0174967
30,3,4,10,2,63.701959558686944,[8.32 0.47 8.98][6.75 0.07 1.80][8.06 9.59 0.27][1.53 8.09 9.56],0.0197354
30,3,4,10,3,63.701959558686944,[8.32 0.47 8.98][6.75 0.07 1.80][8.06 9.59 0.27][1.53 8.09 9.56],0.022754
30,3,4,20,2,63.701959558686944,[8.32 0.47 8.98][6.75 0.07 1.80][8.06 9.59 0.27][1.53 8.09 9.56],0.0267729
30,3,4,20,3,63.70195955868696,[8.32 0.47 8.98][6.75 0.07 1.80][8.06 9.59 0.27][1.53 8.09 9.56],0.0318338
30,3,5,10,2,99.59204059823644,[8.32 0.47 8.98][6.75 0.07 1.80][7.54 8.93 9.66][8.06 9.59 0.27][1.53 8.09 9.56],0.03414
30,3,5,10,3,99.59204059823644,[8.32 0.47 8.98][6.75 0.07 1.80][7.54 8.93 9.66][8.06 9.59 0.27][1.53 8.09 9.56],0.0381515
30,3,5,20,2,99.59204059823645,[8.32 0.47 8.98][6.75 0.07 1.80][7.54 8.93 9.66][8.06 9.59 0.27][1.53 8.09 9.56],0.0454169
30,3,5,20,3,99.59204059823645,[8.32 0.47 8.98][6.75 0.07 1.80][7.54 8.93 9.66][8.06 9.59 0.27][1.53 8.09 9.56],0.0534347
