Number of Vectors,Dimension of each Vector,Length of the solution,Dispersion,Solution,Time CPU (seconds),Generated Nodes,Lower Bound,Strategy
20,3,2,11.80031,[9.81 2.05 1.83][0.65 3.76 9.07],7.15E-05,0,Greedy,Lowest Bound
20,3,3,30.87266,[8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07],0.0001218,0,Greedy,Lowest Bound
20,3,4,56.690315,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0138325,670,Greedy,Lowest Bound
20,3,5,92.82976,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],4.3512572,118984,Greedy,Lowest Bound
20,3,2,11.800311,[9.81 2.05 1.83][0.65 3.76 9.07],0.00126,0,Grasp,Lowest Bound
20,3,3,30.872665,[8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07],0.0015354,0,Grasp,Lowest Bound
20,3,4,56.690315,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.012995,670,Grasp,Lowest Bound
20,3,5,92.82976,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],4.3640469,118984,Grasp,Lowest Bound
20,3,2,11.80031,[9.81 2.05 1.83][0.65 3.76 9.07],7.87E-05,0,Greedy,Depth-First
20,3,3,30.87266,[8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07],9.73E-05,0,Greedy,Depth-First
20,3,4,56.690315,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0356655,1988,Greedy,Depth-First
20,3,5,92.82976,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],5.3603108,122124,Greedy,Depth-First
20,3,2,11.800311,[9.81 2.05 1.83][0.65 3.76 9.07],0.0014219,0,Grasp,Depth-First
20,3,3,30.872663,[8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07],0.0019271,0,Grasp,Depth-First
20,3,4,56.690315,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0130812,670,Grasp,Depth-First
20,3,5,92.82976,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],5.1942039,118984,Grasp,Depth-First
30,2,2,11.657144,[9.84 8.96][2.07 0.27],0.0001266,0,Greedy,Lowest Bound
30,2,3,28.9443,[1.91 9.60][9.84 8.96][2.07 0.27],0.0001563,0,Greedy,Lowest Bound
30,2,4,52.77117,[1.91 9.60][9.84 8.96][8.00 1.53][2.07 0.27],0.3333511,5076,Greedy,Lowest Bound
